Date,Time,Aircraft,Operator,Registration,Flight phase,Flight type,Survivors,Crash site,Schedule,MSN,YOM,Flight no.,Crash location,Country,Region,Crew on board,Crew fatalities,Pax on board,PAX fatalities,Other fatalities,Total fatalities,Circumstances,Crash cause
1919-04-21 00:00:00,10H 40M 0S,Caudron C.23,Private French,,Flight,Postal (mail),No,"Plain, Valley",Villacoublay - Rome,,,,Saint-Rambert-d’Albon Drôme,France,Europe,2,2,0,0,0,2,"The crew was performing the first postal flight between Paris and Rome, Italy. The aircraft departed Villacoublay Airport at 0600LT. While overflying Drôme, the crew encountered strong winds from the north and one of the engines seems to have problems. The crew elected to make an emergency landing when the aircraft crashed in an open field located in Coinaud, near Saint-Rambert-d’Albon. Both occupants were killed. Crew: Jules Védrines, pilot Marcel Guillain, navigator.",Technical failure
1919-04-22 00:00:00,2H 30M 0S,Handley Page H.P.12,Royal Air Force - RAF,F3748,Takeoff (climb),Training,Yes,Airport (less than 10 km from airport),Andover - Andover,,,,Andover Hampshire,United Kingdom,Europe,2,2,5,3,0,5,"The twin engine airplane was engaged in a night training flight over the British Isles. While taking off by night from Andover Airfield, the aircraft encountered difficulties and crashed on a building, bursting into flames. Two passengers were seriously injured while five other occupants were killed. Crew: Maj Thomas Archibald Batchelor, † Flt Lt Reginald Arthur Walter Adkins, † Lt Arthur Barlow Whiteside, † Flt Sgt Horace Henry Heales, † Cpl Edgar George Ward, † Lt Edward Albert Westall, Flt Sgt Herbert William Smith.",Unknown
1919-04-26 00:00:00,,De Havilland DH.4,U.S. Air Mail Service,68,Flight,Postal (mail),,"Plain, Valley",,,,,Long Island New York,United States of America,North America,0,0,0,0,0,0,Crashed following an engine failure. Pilot fate unknown.,Technical failure
1919-05-01 00:00:00,5H 30M 0S,De Havilland DH.9,Aircraft Transport %26 Travel - AT%26T,G-EAAA,Flight,Postal (mail),No,"Plain, Valley",Hendon - Bournemouth,C6054,1919,,Portsdown Hill Hampshire,United Kingdom,Europe,1,1,0,0,0,1,"The aircraft departed Hendon on a night mail flight to Bournemouth, carrying one pilot and a load of newspapers. While descending to Portsmouth, the pilot encountered low visibility due to thick fog when the airpane impacted the top of a hill and crashed in Portsdown Hill, north of Portsmouth. The pilot, Captain Howard J. Saint, sole on board, was killed.",Unknown
1919-05-02 00:00:00,,De Havilland DH.4,United States Army Air Service - USAAS,AS-32084,,Military,,Airport (less than 10 km from airport),,,,,Wright-Patterson AFB (Dayton) Ohio,United States of America,North America,0,0,0,0,0,0,Aircraft crashed near Wright AFB in unknown circumstances.,Unknown
1919-05-03 00:00:00,,De Havilland DH.4,United States Army Air Service - USAAS,AS-22853,,Military,,Airport (less than 10 km from airport),,,,,Oklahoma City Oklahoma,United States of America,North America,0,0,0,0,0,0,The aircraft crashed near Oklahoma City-West Wood Field Airport in unknown circumstances.,Unknown
1919-05-04 00:00:00,11H 0M 0S,Caproni Ca.33,Regia Aeronautica,11495,Landing (descent or approach),Government,No,Airport (less than 10 km from airport),Udine - Bratislava,,,,Bratislava-Ivanka-Milan Rastislav Štefánik Bratislava Region,Slovakia,Europe,3,3,1,1,0,4,"The aircraft departed Campoformido Airport, Udine, for an official but secret flight to Bratislava, Slovakia. On approach to Ivanka Airport, while flying at an altitude between 50 and 80 metres, the aircraft banked left, nosed down and crashed in an open field located in Vajnory, some 4 km north of the airfield, bursting into flames. All four occupants were killed. Crew: Lt Giotto Mancinelli-Scotti, pilot, Sgt Umberto Merlini, pilot, Gabriele Aggiusti, radionavigator. Passenger: General Milan Rastislav Štefánik. The international airport of Bratislava will be later renamed Bratislava-Ivanka-Milan Rastislav Štefánik.",Unknown
1919-05-06 00:00:00,,De Havilland DH.4,United States Army Air Service - USAAS,AS-30985,Flight,Military,,Airport (less than 10 km from airport),Ellington AFB - Ellington AFB,,,,Ellington AFB (Houston) Texas,United States of America,North America,0,0,0,0,0,0,Aircraft crashed in unknown circumstances.,Unknown
1919-05-15 00:00:00,,De Havilland DH.4,Royal Air Force - RAF,H5894,Flight,Military,No,"Lake, Sea, Ocean, River",London - Paris,,,,Boulogne-sur-Mer Pas-de-Calais,France,Europe,1,1,1,1,0,2,"The single engine aircraft departed London on a flight to Paris, carrying one pilot and one passenger, the agronomist and botanist Aaron Aaronsohn. While flying over The Channel, the aircraft crashed in unknown circumstances in the sea off Boulogne-sur-Mer. Both occupants were killed.",Unknown
1919-05-15 00:00:00,,De Havilland DH.4,U.S. Air Mail Service,69,Flight,Postal (mail),,"Plain, Valley",,,,,Chicago Illinois,United States of America,North America,0,0,0,0,0,0,Crashed in unknown circumstances. Crew fate unknown.,Unknown
1919-05-17 00:00:00,,Handley Page H.P.12,Royal Air Force - RAF,D5439,Landing (descent or approach),Military,Yes,Airport (less than 10 km from airport),London – Paris – Pisa – Rome – Cairo,,,,Rome-Centocelle Lazio,Italy,Europe,4,2,1,0,0,2,"The aircraft departed London on a flight to Cairo, carrying four crew members. In Paris, one passenger, Colonel Thomas Edward Lawrence (awa Lawrence of Arabia) embarked to fly to Cairo after taking part to the 1919 Peace Conference in Paris. While approaching Rome-Centocelle Airport at dusk, the pilot encountered limited visibility and attempted a go-around procedure when the aircraft clipped a tree and crashed upside down. Both pilots were killed and three other occupants were injured. Crew: 2nd Lt Frederick George Prince, pilot, † 2nd Lt Sydney Spratt, pilot, † Aircraftman F. J. Daw +1. Passenger: Colonel Thomas Edward Lawrence.",Unknown
1919-05-19 00:00:00,12H 0M 0S,Farman F.60 Goliath,Private French,,Landing (descent or approach),Scheduled Revenue Flight,,"Plain, Valley",,,,,Belgium All Belgium,Belgium,Europe,,0,,0,0,0,,Unknown
1919-05-24 00:00:00,,De Havilland DH.6,Royal Air Force - RAF,C7829,Flight,Training,No,Airport (less than 10 km from airport),Aldeburgh - Aldeburgh,,,,Aldeburgh Suffolk,United Kingdom,Europe,2,2,0,0,0,2,"The crew was engaged in a local training flight at RAF Aldeburgh. At a height of about 300 feet, the single engine airplane collided with a second RAF DH.6 registered C6861 and also carrying two pilots. Both aircraft dove into the ground and crashed near the airfield. Both pilots on board C7829 were killed while both pilots on board C6861 were seriously injured. One of them died two days later. Crew (1st MOS): Lt Cyril Victor Clarence Wright, Lt Edward William Sydney Jacobi.",Unknown
1919-05-24 00:00:00,,De Havilland DH.6,Royal Air Force - RAF,C6861,Flight,Training,Yes,Airport (less than 10 km from airport),Aldeburgh - Aldeburgh,,,,Aldeburgh Suffolk,United Kingdom,Europe,2,1,0,0,0,1,"The crew was engaged in a local training flight at RAF Aldeburgh. At a height of about 300 feet, the single engine airplane collided with a second RAF DH.6 registered C7829 and also carrying two pilots. Both aircraft dove into the ground and crashed near the airfield. Both pilots on board C7829 were killed while both pilots on board C6861 were seriously injured. One of them died two days later. Crew (1st MOS): Lt A. G. Wyatt, † Sgt L. D. Adock.",Unknown
1919-05-25 00:00:00,,De Havilland DH.4,U.S. Air Mail Service,61,Takeoff (climb),Postal (mail),No,Airport (less than 10 km from airport),Cleveland – Chicago,,,,Cleveland Ohio,United States of America,North America,1,1,0,0,0,1,"Shortly after takeoff from Cleveland Airport, while climbing, the engine caught fire. The pilot lost control of the airplane that crashed, bursting into flames. The pilot was killed.",Technical failure
